y,ds
57,2023-04-10
57,2023-04-10
57,2023-04-10
57,2023-04-10
57,2023-04-10
57,2023-04-10
57,2023-04-10
57,2023-04-10
57,2023-04-10
58,2023-04-10
58,2023-04-10
58,2023-04-10
58,2023-04-10
58,2023-04-10
58,2023-04-10
58,2023-04-10
58,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
59,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
60,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
61,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
62,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
63,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
65,2023-04-10
65,2023-04-10
65,2023-04-10
65,2023-04-09
65,2023-04-09
65,2023-04-09
65,2023-04-09
65,2023-04-09
66,2023-04-09
66,2023-04-09
66,2023-04-09
66,2023-04-09
66,2023-04-09
67,2023-04-09
67,2023-04-09
67,2023-04-09
67,2023-04-09
67,2023-04-09
67,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
69,2023-04-09
69,2023-04-09
69,2023-04-09
69,2023-04-09
69,2023-04-09
68,2023-04-09
69,2023-04-09
69,2023-04-09
69,2023-04-09
68,2023-04-09
68,2023-04-09
68,2023-04-09
69,2023-04-09
69,2023-04-09
69,2023-04-09
