y,ds
0,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
2,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
1,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
2,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
2,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
2,2023-04-10
2,2023-04-10
1,2023-04-10
2,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
4,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
2,2023-04-10
4,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
2,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
1,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
3,2023-04-10
4,2023-04-10
4,2023-04-10
3,2023-04-10
3,2023-04-10
4,2023-04-10
5,2023-04-10
3,2023-04-10
4,2023-04-10
4,2023-04-10
4,2023-04-10
4,2023-04-10
4,2023-04-10
5,2023-04-09
5,2023-04-09
5,2023-04-09
4,2023-04-09
5,2023-04-09
5,2023-04-09
3,2023-04-09
5,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
5,2023-04-09
5,2023-04-09
6,2023-04-09
6,2023-04-09
5,2023-04-09
4,2023-04-09
5,2023-04-09
4,2023-04-09
3,2023-04-09
5,2023-04-09
4,2023-04-09
3,2023-04-09
5,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
4,2023-04-09
5,2023-04-09
6,2023-04-09
4,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
5,2023-04-09
4,2023-04-09
3,2023-04-09
5,2023-04-09
3,2023-04-09
4,2023-04-09
1,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
3,2023-04-09
5,2023-04-09
5,2023-04-09
3,2023-04-09
4,2023-04-09
4,2023-04-09
3,2023-04-09
4,2023-04-09
1,2023-04-09
2,2023-04-09
4,2023-04-09
2,2023-04-09
3,2023-04-09
5,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
5,2023-04-09
3,2023-04-09
4,2023-04-09
3,2023-04-09
2,2023-04-09
4,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
4,2023-04-09
3,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
2,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
5,2023-04-09
4,2023-04-09
4,2023-04-09
2,2023-04-09
3,2023-04-09
4,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
1,2023-04-09
1,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
1,2023-04-09
3,2023-04-09
1,2023-04-09
1,2023-04-09
0,2023-04-09
0,2023-04-09
1,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
4,2023-04-09
3,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
0,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
3,2023-04-09
0,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
1,2023-04-09
3,2023-04-09
2,2023-04-09
1,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
0,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
2,2023-04-09
1,2023-04-09
2,2023-04-09
1,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
1,2023-04-09
0,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
1,2023-04-09
0,2023-04-09
0,2023-04-09
1,2023-04-09
0,2023-04-09
0,2023-04-09
1,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
0,2023-04-09
2,2023-04-09
3,2023-04-09
0,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
4,2023-04-09
3,2023-04-09
4,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
4,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
4,2023-04-09
3,2023-04-09
2,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-09
5,2023-04-09
4,2023-04-09
3,2023-04-09
1,2023-04-09
2,2023-04-09
1,2023-04-09
1,2023-04-09
1,2023-04-09
1,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
2,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
5,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
3,2023-04-09
4,2023-04-09
